 400.0 -100.   4.4186   5.6847   5.6389
 410.0   90.   1.2645   1.2195   1.2168
 410.0   91.   1.2796   1.2311   1.2286
 410.0   92.   1.2955   1.2433   1.2387
 410.0   93.   1.3121   1.2585   1.2515
 410.0   94.   1.3353   1.2720   1.2650
 410.0   95.   1.3540   1.2860   1.2792
 410.0   96.   1.3797   1.3009   1.2940
 410.0   97.   1.4007   1.3164   1.3096
 410.0   98.   1.4294   1.3356   1.3259
 410.0   99.   1.4600   1.3528   1.3431
 410.0  100.   1.4926   1.3740   1.3640
 420.0 -100.   4.1613   5.3497   5.3091
 420.0  -99.   3.9314   4.9874   4.9491
 420.0  -98.   3.7232   4.6689   4.6416
 420.0  -97.   3.5339   4.3870   4.3610
 420.0  -96.   3.3758   4.1360   4.1186
 420.0  -95.   3.2306   3.9113   3.8944
 420.0  -94.   3.0844   3.7164   3.6992
 420.0  -93.   2.9617   3.5333   3.5165
 420.0  -92.   2.8482   3.3671   3.3565
 420.0  -91.   2.7431   3.2158   3.2053
 420.0  -90.   2.6453   3.0775   3.0671
 420.0  -89.   2.5639   2.9562   2.9452
 420.0  -88.   2.4788   2.8395   2.8286
 420.0  -87.   2.3992   2.7319   2.7255
 420.0  -86.   2.3250   2.6325   2.6259
 420.0  -85.   2.2632   2.5405   2.5339
 420.0  -84.   2.1977   2.4593   2.4522
 420.0  -83.   2.1433   2.3798   2.3726
 420.0  -82.   2.0853   2.3058   2.2986
 420.0  -81.   2.0373   2.2368   2.2295
 420.0  -80.   1.9856   2.1723   2.1681
 420.0  -79.   1.9431   2.1120   2.1077
 420.0  -78.   1.8970   2.0556   2.0511
 420.0  -77.   1.8591   2.0027   1.9980
 420.0  -76.   1.8178   1.9530   1.9482
 420.0  -75.   1.7841   1.9063   1.9014
 420.0  -74.   1.7471   1.8596   1.8550
 420.0  -73.   1.7170   1.8184   1.8136
 420.0  -72.   1.6836   1.7796   1.7747
 420.0  -71.   1.6521   1.7406   1.7358
 420.0  -70.   1.6268   1.7061   1.7013
 420.0  -69.   1.5983   1.6714   1.6666
 420.0  -68.   1.5714   1.6386   1.6340
 420.0  -67.   1.5458   1.6076   1.6051
 420.0  -66.   1.5216   1.5784   1.5759
 420.0  -65.   1.4987   1.5508   1.5483
 420.0  -64.   1.4770   1.5247   1.5206
 420.0  -63.   1.4565   1.5000   1.4960
 420.0  -62.   1.4370   1.4749   1.4728
 420.0  -61.   1.4186   1.4529   1.4493
 420.0  -60.   1.3977   1.4305   1.4271
 420.0  -59.   1.3813   1.4093   1.4061
 420.0  -58.   1.3625   1.3893   1.3863
 420.0  -57.   1.3480   1.3704   1.3676
 420.0  -56.   1.3311   1.3526   1.3487
 420.0  -55.   1.3152   1.3343   1.3321
 420.0  -54.   1.3002   1.3185   1.3151
 420.0  -53.   1.2862   1.3023   1.2992
 420.0  -52.   1.2701   1.2856   1.2842
 420.0  -51.   1.2577   1.2712   1.2688
 420.0  -50.   1.2434   1.2577   1.2545
 420.0  -49.   1.2300   1.2438   1.2409
 420.0  -48.   1.2199   1.2307   1.2282
 420.0  -47.   1.2080   1.2185   1.2164
 420.0  -46.   1.1945   1.2059   1.2043
 420.0  -45.   1.1842   1.1941   1.1929
 420.0  -44.   1.1746   1.1832   1.1813
 420.0  -43.   1.1635   1.1730   1.1715
 420.0  -42.   1.1532   1.1624   1.1615
 420.0  -41.   1.1436   1.1526   1.1512
 420.0  -40.   1.1347   1.1435   1.1427
 420.0  -39.   1.1266   1.1353   1.1339
 420.0  -38.   1.1171   1.1267   1.1259
 420.0  -37.   1.1104   1.1188   1.1177
 420.0  -36.   1.1024   1.1106   1.1102
 420.0  -35.   1.0951   1.1032   1.1025
 420.0  -34.   1.0867   1.0966   1.0964
 420.0  -33.   1.0808   1.0896   1.0893
 420.0  -32.   1.0739   1.0835   1.0838
 420.0  -31.   1.0676   1.0780   1.0773
 420.0  -30.   1.0621   1.0724   1.0724
 420.0  -29.   1.0557   1.0675   1.0674
 420.0  -28.   1.0515   1.0625   1.0623
 420.0  -27.   1.0465   1.0581   1.0580
 420.0  -26.   1.0407   1.0537   1.0544
 420.0  -25.   1.0371   1.0500   1.0508
 420.0  -24.   1.0329   1.0464   1.0471
 420.0  -23.   1.0279   1.0434   1.0443
