 400.0 -100.   9.0729  11.6725  11.5785
 410.0  -10.   0.6732   0.7053   0.7085
 410.0   -9.   0.6519   0.6858   0.6893
 410.0   -8.   0.6299   0.6651   0.6685
 410.0   -7.   0.6070   0.6427   0.6462
 410.0   -6.   0.5836   0.6183   0.6216
 410.0   -5.   0.5584   0.5911   0.5944
 410.0   -4.   0.5320   0.5613   0.5642
 410.0   -3.   0.5044   0.5281   0.5305
 410.0   -2.   0.4758   0.4915   0.4930
 410.0   -1.   0.4461   0.4516   0.4520
 410.0    0.   0.4154   0.4086   0.4079
 410.0    1.   0.4461   0.4515   0.4520
 410.0    2.   0.4757   0.4913   0.4928
 410.0    3.   0.5041   0.5278   0.5302
 410.0    4.   0.5315   0.5606   0.5635
 410.0    5.   0.5575   0.5900   0.5933
 410.0    6.   0.5822   0.6166   0.6200
 410.0    7.   0.6051   0.6403   0.6439
 410.0    8.   0.6273   0.6619   0.6653
 410.0    9.   0.6484   0.6816   0.6851
 410.0   10.   0.6688   0.7001   0.7032
 410.0   11.   0.6883   0.7174   0.7202
 410.0   12.   0.7072   0.7339   0.7365
 410.0   13.   0.7247   0.7497   0.7518
 410.0   14.   0.7422   0.7648   0.7669
 410.0   15.   0.7596   0.7795   0.7817
 410.0   16.   0.7758   0.7943   0.7962
 410.0   17.   0.7928   0.8090   0.8107
 410.0   18.   0.8084   0.8233   0.8247
 410.0   19.   0.8246   0.8375   0.8392
 410.0   20.   0.8404   0.8521   0.8531
 410.0   21.   0.8567   0.8667   0.8675
 410.0   22.   0.8725   0.8812   0.8818
 410.0   23.   0.8876   0.8954   0.8960
 410.0   24.   0.9032   0.9102   0.9107
 410.0   25.   0.9194   0.9247   0.9252
 410.0   26.   0.9347   0.9397   0.9402
 410.0   27.   0.9521   0.9545   0.9550
 410.0   28.   0.9670   0.9697   0.9695
 410.0   29.   0.9840   0.9846   0.9845
 410.0   30.   1.0000   1.0000   1.0000
 410.0   31.   1.0165   1.0150   1.0152
 410.0   32.   1.0336   1.0305   1.0309
 410.0   33.   1.0494   1.0465   1.0462
 410.0   34.   1.0676   1.0620   1.0620
 410.0   35.   1.0845   1.0780   1.0774
 410.0   36.   1.1020   1.0935   1.0933
 410.0   37.   1.1180   1.1095   1.1087
 410.0   38.   1.1365   1.1259   1.1255
 410.0   39.   1.1536   1.1418   1.1409
 410.0   40.   1.1711   1.1592   1.1577
 410.0   41.   1.1892   1.1749   1.1740
 410.0   42.   1.2078   1.1922   1.1907
 410.0   43.   1.2247   1.2087   1.2069
 410.0   44.   1.2444   1.2258   1.2234
 410.0   45.   1.2623   1.2421   1.2405
 410.0   46.   1.2807   1.2601   1.2580
 410.0   47.   1.2996   1.2773   1.2748
 410.0   48.   1.3191   1.2950   1.2921
 410.0   49.   1.3391   1.3118   1.3098
 410.0   50.   1.3568   1.3304   1.3267
 410.0   51.   1.3750   1.3481   1.3454
 410.0   52.   1.3968   1.3663   1.3633
 410.0   53.   1.4161   1.3834   1.3816
 410.0   54.   1.4359   1.4025   1.3990
 410.0   55.   1.4528   1.4206   1.4183
 410.0   56.   1.4737   1.4391   1.4366
 410.0   57.   1.4951   1.4580   1.4553
 410.0   58.   1.5135   1.4775   1.4746
 410.0   59.   1.5362   1.4975   1.4927
 410.0   60.   1.5556   1.5162   1.5130
 410.0   61.   1.5754   1.5354   1.5321
 410.0   62.   1.5959   1.5570   1.5517
 410.0   63.   1.6211   1.5772   1.5736
 410.0   64.   1.6383   1.5979   1.5924
 410.0   65.   1.6604   1.6192   1.6135
 410.0   66.   1.6831   1.6388   1.6353
 410.0   67.   1.7064   1.6612   1.6576
 410.0   68.   1.7303   1.6819   1.6784
 410.0   69.   1.7500   1.7055   1.7019
 410.0   70.   1.7752   1.7273   1.7239
 410.0   71.   1.8012   1.7522   1.7464
 410.0   72.   1.8225   1.7752   1.7695
 410.0   73.   1.8498   1.7988   1.7933
 410.0   74.   1.8723   1.8231   1.8202
 410.0   75.   1.8954   1.8480   1.8453
 410.0   76.   1.9250   1.8737   1.8711
 410.0   77.   1.9494   1.9000   1.8950
 410.0   78.   1.9807   1.9271   1.9223
 410.0   79.   2.0065   1.9550   1.9504
 410.0   80.   2.0397   1.9837   1.9793
 410.0   81.   2.0671   2.0132   2.0090
 410.0   82.   2.1024   2.0437   2.0397
 410.0   83.   2.1315   2.0751   2.0681
 410.0   84.   2.1690   2.1075   2.1006
 410.0   85.   2.2000   2.1408   2.1342
 410.0   86.   2.2400   2.1753   2.1688
 410.0   87.   2.2815   2.2069   2.2010
 410.0   88.   2.3158   2.2435   2.2379
 410.0   89.   2.3602   2.2814   2.2760
 410.0   90.   2.4062   2.3206   2.3154
 410.0   91.   2.4542   2.3612   2.3563
 410.0   92.   2.5041   2.4032   2.3943
 410.0   93.   2.5560   2.4516   2.4380
 410.0   94.   2.6213   2.4969   2.4833
 410.0   95.   2.6783   2.5439   2.5303
 410.0   96.   2.7500   2.5928   2.5792
 410.0   97.   2.8128   2.6435   2.6299
 410.0   98.   2.8920   2.7022   2.6827
 410.0   99.   2.9758   2.7574   2.7377
 410.0  100.   3.0647   2.8213   2.8008
 420.0 -100.   8.5445  10.9847  10.9012
 420.0  -99.   8.0132  10.1656  10.0877
 420.0  -98.   7.5328   9.4462   9.3910
 420.0  -97.   7.0968   8.8099   8.7576
 420.0  -96.   6.7285   8.2436   8.2090
 420.0  -95.   6.3905   7.7369   7.7034
 420.0  -94.   6.0547   7.2955   7.2617
 420.0  -93.   5.7693   6.8828   6.8502
 420.0  -92.   5.5054   6.5085   6.4880
 420.0  -91.   5.2609   6.1676   6.1474
 420.0  -90.   5.0337   5.8561   5.8362
 420.0  -89.   4.8402   5.5807   5.5600
 420.0  -88.   4.6421   5.3176   5.2973
 420.0  -87.   4.4571   5.0750   5.0631
 420.0  -86.   4.2841   4.8508   4.8387
 420.0  -85.   4.1363   4.6431   4.6309
 420.0  -84.   3.9834   4.4577   4.4447
 420.0  -83.   3.8527   4.2778   4.2648
 420.0  -82.   3.7169   4.1100   4.0971
 420.0  -81.   3.6007   3.9533   3.9404
 420.0  -80.   3.4795   3.8067   3.7993
 420.0  -79.   3.3758   3.6693   3.6617
 420.0  -78.   3.2671   3.5403   3.5325
 420.0  -77.   3.1740   3.4190   3.4110
 420.0  -76.   3.0761   3.3048   3.2967
 420.0  -75.   2.9922   3.1971   3.1889
 420.0  -74.   2.9038   3.0909   3.0831
 420.0  -73.   2.8280   2.9950   2.9871
 420.0  -72.   2.7477   2.9043   2.8963
 420.0  -71.   2.6713   2.8144   2.8067
 420.0  -70.   2.6059   2.7330   2.7253
 420.0  -69.   2.5363   2.6522   2.6447
 420.0  -68.   2.4699   2.5755   2.5683
 420.0  -67.   2.4065   2.5026   2.4987
 420.0  -66.   2.3459   2.4334   2.4296
 420.0  -65.   2.2880   2.3675   2.3638
 420.0  -64.   2.2327   2.3047   2.2985
 420.0  -63.   2.1797   2.2449   2.2389
 420.0  -62.   2.1289   2.1851   2.1820
 420.0  -61.   2.0803   2.1307   2.1254
 420.0  -60.   2.0286   2.0763   2.0713
 420.0  -59.   1.9840   2.0243   2.0197
 420.0  -58.   1.9366   1.9747   1.9704
 420.0  -57.   1.8956   1.9272   1.9233
 420.0  -56.   1.8519   1.8818   1.8763
 420.0  -55.   1.8100   1.8363   1.8332
 420.0  -54.   1.7698   1.7947   1.7901
 420.0  -53.   1.7313   1.7530   1.7488
 420.0  -52.   1.6905   1.7112   1.7093
 420.0  -51.   1.6551   1.6729   1.6698
 420.0  -50.   1.6176   1.6362   1.6320
 420.0  -49.   1.5816   1.5994   1.5957
 420.0  -48.   1.5503   1.5641   1.5609
 420.0  -47.   1.5170   1.5302   1.5276
 420.0  -46.   1.4821   1.4962   1.4942
 420.0  -45.   1.4515   1.4636   1.4622
 420.0  -44.   1.4221   1.4324   1.4302
 420.0  -43.   1.3911   1.4024   1.4007
 420.0  -42.   1.3614   1.3723   1.3712
 420.0  -41.   1.3329   1.3434   1.3418
 420.0  -40.   1.3055   1.3156   1.3146
 420.0  -39.   1.2792   1.2890   1.2875
 420.0  -38.   1.2516   1.2623   1.2614
 420.0  -37.   1.2274   1.2366   1.2354
 420.0  -36.   1.2019   1.2109   1.2104
 420.0  -35.   1.1775   1.1862   1.1854
 420.0  -34.   1.1521   1.1626   1.1624
 420.0  -33.   1.1296   1.1388   1.1385
 420.0  -32.   1.1062   1.1161   1.1164
 420.0  -31.   1.0837   1.0942   1.0935
 420.0  -30.   1.0621   1.0724   1.0724
